season,episode,kevin_score,demi_score,guest_score,imdb_score,pop_ref,paris,emily,lane,mrskim
1,1.01 Pilot,8,7,0,8.5,27,N,Y,Y,Y
1,1.02 The Lorelais' First Day at Chilton,8,8,0,8.3,23,Y,Y,Y,N
1,1.03 Kill Me Now,8,8,0,8,15,N,Y,N,N
1,1.04 The Deer Hunters,7,8,8,8.1,16,Y,N,Y,Y
1,1.05 Cinnamon's Wake,6,7,0,8,17,N,Y,Y,N
1,1.06 Rory's Birthday Parties,10,9,6.5,8.6,18,Y,Y,Y,N
1,1.07 Kiss And Tell,8,7,0,8.6,20,N,N,Y,Y
1,1.08 Love And War And Snow,7,5,8,8.3,13,N,Y,Y,N
1,1.09 Rory's Dance,9,8,8,8.8,22,Y,Y,Y,N
1,1.10 Forgiveness And Stuff,8,6,0,8.4,7,N,Y,Y,N
1,1.11 Paris Is Burning,7,7,0,7.9,18,Y,Y,N,N
1,1.12 Double Date*,6,6,6,8.1,19,N,N,Y,Y
1,1.13 Concert Interruptus,8,6,0,8.2,12,Y,N,Y,Y
1,1.14 That Damn Donna Reed,7,7,0,8.2,24,N,Y,Y,N
1,1.15 Christopher Returns,8,8,8,8.3,21,N,Y,N,N
1,1.16 Star Crossed Lovers And Other Strangers,8,7,0,8.4,16,Y,Y,Y,N
1,1.17 The Breakup Pt. 2,9,10,0,8.3,21,Y,N,Y,N
1,1.18 The Third Lorelai,9,8,8,8.1,18,Y,Y,N,N
1,1.19 Emily In Wonderland,9,6,8,8.3,21,N,Y,Y,Y
1,1.20 P.S. I Lo…,7,6,6,8.3,16,Y,Y,Y,Y
1,"1.21 Love, Daisies and Troubadours",5,3,0,8.8,14,Y,N,Y,N
2,"2.01 Sadie, Sadie",7,6,6,8.4,17,N,Y,Y,Y
2,2.02 Hammers And Veils,7.5,8,6,8.1,22,Y,Y,Y,N
2,2.03 Red Light On The Wedding Night,6,8,2,8.1,23,N,Y,N,N
2,2.04 The Road Trip To Harvard,5,5,6,8.3,25,N,Y,Y,N
2,2.05 Nick & Nora / Sid & Nancy,6,4,10,8.4,36,Y,N,Y,N
